YEAR,SPECIES,TONS,POUNDS,POUNDS(millions),VALUE,VALUE(millions),PRICE/LB,HOLDERS†,MILLIONS,STATION (C)
1880,"LOBSTER, AMERICAN",,"14,235,102",14.2351,"$300,000",0.3,$0.02,"2,763",0.104,
1881,"LOBSTER, AMERICAN",,,,,,,,,
1882,"LOBSTER, AMERICAN",,,,,,,,,
1883,"LOBSTER, AMERICAN",,,,,,,,,
1884,"LOBSTER, AMERICAN",,,,,,,,,
1885,"LOBSTER, AMERICAN",,,,,,,,,
1886,"LOBSTER, AMERICAN","10,433","23,000,592",23.0006,,,$0.00,,,
1887,"LOBSTER, AMERICAN","10,395","22,916,817",22.9168,"$500,000",0.5,$0.02,"1,906",0.109,
1888,"LOBSTER, AMERICAN","9,841","21,695,469",21.6955,"$500,000",0.5,$0.02,"1,967",0.107,
1889,"LOBSTER, AMERICAN","11,091","24,451,219",24.4512,"$500,000",0.5,$0.02,"2,080",0.121,
1890,"LOBSTER, AMERICAN","9,071","19,997,927",19.9979,,,$0.00,,,
1891,"LOBSTER, AMERICAN",,,,,,,,,
1892,"LOBSTER, AMERICAN","8,003","17,643,414",17.6434,"$700,000",0.7,$0.04,"2,628",0.153,
1893,"LOBSTER, AMERICAN",,,,,,,,,
1894,"LOBSTER, AMERICAN",,,,,,,,0.2,
1895,"LOBSTER, AMERICAN",,,,,,,,,
1896,"LOBSTER, AMERICAN",,,,,,,,,
1897,"LOBSTER, AMERICAN","5,085","11,210,391",11.2104,"$800,000",0.8,$0.07,"2,436",0.234,
1898,"LOBSTER, AMERICAN","5,565","12,268,599",12.2686,"$900,000",0.9,$0.07,"3,103",0.279,
1899,"LOBSTER, AMERICAN","5,769","12,718,337",12.7183,"$1,000,000",1,$0.08,"3,116",0.335,
1900,"LOBSTER, AMERICAN","6,535","14,407,061",14.4071,"$1,000,000",1,$0.07,"3,105",0.327,
1901,"LOBSTER, AMERICAN","6,343","13,983,778",13.9838,"$1,000,000",1,$0.07,"2,788",0.304,
1902,"LOBSTER, AMERICAN","6,497","14,323,286",14.3233,"$1,200,000",1.2,$0.08,"2,541",0.298,
1903,"LOBSTER, AMERICAN","5,949","13,115,165",13.1152,"$1,200,000",1.2,$0.09,"2,558",0.268,
1904,"LOBSTER, AMERICAN","5,481","12,083,413",12.0834,"$1,100,000",1.1,$0.09,"2,509",0.264,
1905,"LOBSTER, AMERICAN","5,052","11,137,639",11.1376,"$1,400,000",1.4,$0.13,"2,562",0.254,7.8
1906,"LOBSTER, AMERICAN","6,803","14,997,894",14.9979,"$1,600,000",1.6,$0.11,"2,672",0.305,7
1907,"LOBSTER, AMERICAN","7,891","17,396,499",17.3965,"$1,900,000",1.9,$0.11,,,6.8
